wavelength,ND_0.0,ND_1.0,ND_2.0,ND_3.5
1098.0,1.000000000,0.072040401,0.004516320,0.000099320
1099.0,1.000000000,0.071824402,0.004486550,0.000098220
1100.0,1.000000000,0.071703397,0.004468810,0.000097360
1101.0,1.000000000,0.071417198,0.004435900,0.000096270
1102.0,1.000000000,0.071210802,0.004409000,0.000095390
1103.0,1.000000000,0.071093798,0.004386560,0.000094470
1104.0,1.000000000,0.070854001,0.004359920,0.000093650
1105.0,1.000000000,0.070618503,0.004334720,0.000092770
1106.0,1.000000000,0.070451401,0.004309880,0.000091870
1107.0,1.000000000,0.070349403,0.004290640,0.000091030
1108.0,1.000000000,0.070083402,0.004264900,0.000090110
1109.0,1.000000000,0.069882303,0.004240890,0.000089210
1110.0,1.000000000,0.069771796,0.004218370,0.000088520
1111.0,1.000000000,0.069598101,0.004196500,0.000087670
1112.0,1.000000000,0.069382802,0.004173680,0.000086860
1113.0,1.000000000,0.069210298,0.004151970,0.000086240
1114.0,1.000000000,0.069067299,0.004130420,0.000085590
1115.0,1.000000000,0.068807900,0.004102530,0.000084870
1116.0,1.000000000,0.068695001,0.004085970,0.000084200
1117.0,1.000000000,0.068500899,0.004062830,0.000083540
1118.0,1.000000000,0.068389997,0.004045270,0.000082760
1119.0,1.000000000,0.068187103,0.004022720,0.000082090
1120.0,1.000000000,0.068015598,0.004005230,0.000081360
1121.0,1.000000000,0.067890197,0.003988560,0.000080690
1122.0,1.000000000,0.067687802,0.003966110,0.000080090
1123.0,1.000000000,0.067472100,0.003943960,0.000079430
1124.0,1.000000000,0.067433603,0.003932440,0.000078850
1125.0,1.000000000,0.067207500,0.003907880,0.000078000
1126.0,1.000000000,0.067085698,0.003890200,0.000077390
1127.0,1.000000000,0.066978402,0.003873370,0.000076860
1128.0,1.000000000,0.066822499,0.003857830,0.000076300
1129.0,1.000000000,0.066636398,0.003836950,0.000075700
1130.0,1.000000000,0.066531599,0.003819890,0.000075230
1131.0,1.000000000,0.066454798,0.003808690,0.000074690
1132.0,1.000000000,0.066295803,0.003790560,0.000074220
1133.0,1.000000000,0.066158302,0.003775130,0.000073720
1134.0,1.000000000,0.066043504,0.003759680,0.000073170
1135.0,1.000000000,0.065870799,0.003743030,0.000072630
1136.0,1.000000000,0.065773800,0.003728670,0.000072210
1137.0,1.000000000,0.065634102,0.003712230,0.000071720
1138.0,1.000000000,0.065448903,0.003693360,0.000071200
1139.0,1.000000000,0.065426096,0.003685040,0.000070700
1140.0,1.000000000,0.065300301,0.003673030,0.000070310
1141.0,1.000000000,0.065168701,0.003657250,0.000069990
1142.0,1.000000000,0.065026000,0.003640820,0.000069470
1143.0,1.000000000,0.064885996,0.003627340,0.000068830
1144.0,1.000000000,0.064797200,0.003614330,0.000068500
1145.0,1.000000000,0.064706400,0.003601860,0.000068180
1146.0,1.000000000,0.064562201,0.003590600,0.000067700
1147.0,1.000000000,0.064452797,0.003576130,0.000067330
1148.0,1.000000000,0.064316198,0.003558370,0.000066980
1149.0,1.000000000,0.064265899,0.003551220,0.000066520
1150.0,1.000000000,0.064121597,0.003538040,0.000066000
1151.0,1.000000000,0.064029902,0.003525090,0.000065580
1152.0,1.000000000,0.063973598,0.003516190,0.000065330
1153.0,1.000000000,0.063879199,0.003504500,0.000064970
1154.0,1.000000000,0.063733302,0.003489910,0.000064480
1155.0,1.000000000,0.063648298,0.003480460,0.000064150
1156.0,1.000000000,0.063516699,0.003469080,0.000063900
1157.0,1.000000000,0.063421898,0.003453880,0.000063590
1158.0,1.000000000,0.063464001,0.003451310,0.000063190
1159.0,1.000000000,0.063260898,0.003436860,0.000062780
1160.0,1.000000000,0.063246101,0.003429880,0.000062580
1161.0,1.000000000,0.063188799,0.003420050,0.000062290
1162.0,1.000000000,0.063054897,0.003407590,0.000061930
1163.0,1.000000000,0.062975802,0.003400630,0.000061680
1164.0,1.000000000,0.062877201,0.003392300,0.000061410
1165.0,1.000000000,0.062774703,0.003382890,0.000061110
1166.0,1.000000000,0.062781803,0.003377350,0.000060890
1167.0,1.000000000,0.062640101,0.003366430,0.000060680
1168.0,1.000000000,0.062603503,0.003359170,0.000060410
1169.0,1.000000000,0.062486500,0.003348250,0.000060190
1170.0,1.000000000,0.062433898,0.003342170,0.000059930
1171.0,1.000000000,0.062373500,0.003336580,0.000059670
1172.0,1.000000000,0.062264401,0.003322090,0.000059460
1173.0,1.000000000,0.062252700,0.003317200,0.000059210
1174.0,1.000000000,0.062220700,0.003311510,0.000059070
1175.0,1.000000000,0.062059101,0.003297880,0.000058800
1176.0,1.000000000,0.061979201,0.003291140,0.000058660
1177.0,1.000000000,0.062011201,0.003289220,0.000058330
1178.0,1.000000000,0.061931200,0.003282760,0.000058050
1179.0,1.000000000,0.061837200,0.003273060,0.000057900
1180.0,1.000000000,0.061789099,0.003266880,0.000057730
1181.0,1.000000000,0.061708700,0.003259360,0.000057500
1182.0,1.000000000,0.061647601,0.003254380,0.000057270
1183.0,1.000000000,0.061634701,0.003250280,0.000057030
1184.0,1.000000000,0.061597999,0.003243900,0.000056860
1185.0,1.000000000,0.061485302,0.003234610,0.000056700
1186.0,1.000000000,0.061452098,0.003229420,0.000056630
1187.0,1.000000000,0.061393600,0.003224280,0.000056470
1188.0,1.000000000,0.061339699,0.003219800,0.000056320
1189.0,1.000000000,0.061385799,0.003216950,0.000056190
1190.0,1.000000000,0.061265599,0.003208690,0.000056030
1191.0,1.000000000,0.061256800,0.003205300,0.000055970
1192.0,1.000000000,0.061206900,0.003200010,0.000055740
1193.0,1.000000000,0.061166201,0.003195440,0.000055630
1194.0,1.000000000,0.061068401,0.003189290,0.000055580
1195.0,1.000000000,0.061050002,0.003187760,0.000055470
1196.0,1.000000000,0.061077800,0.003185020,0.000055330
1197.0,1.000000000,0.060970198,0.003176540,0.000055260
1198.0,1.000000000,0.060962401,0.003173570,0.000055160
1199.0,1.000000000,0.060967501,0.003174590,0.000055060
1200.0,1.000000000,0.060906298,0.003169050,0.000054950
